evaluation	mode	p0	p1	delta	energy
1	INITIALIZING	0.5	1.5	nan	156.5
2	INITIALIZING	1.5	1.5	nan	56.5
3	INITIALIZING	0.5	2.5	1.598579041	506.5
4	REFLECTING	1.5	0.5	1.598579041	306.5
5	CONTRACTING	0.75	2	1.141347581	206.703125
6	REFLECTING	1.25	1	1.141347581	31.703125
7	EXPANDING	1.5	0.5	1.326193441	306.5
8	REFLECTING	2.25	1	1.326193441	1651.953125
9	CONTRACTING	0.9375	1.375	0.7861744113	24.61480713
10	REFLECTING	0.6875	0.875	0.7861744113	16.28570557
11	EXPANDING	0.28125	0.5625	0.6425419935	23.8840065
12	REFLECTING	0.375	1.25	0.6425419935	123.4619141
13	CONTRACTING	1.03125	1.0625	1.999825815	0.001071929932
14	REFLECTING	0.78125	0.5625	1.999736736	0.2768287659
15	REFLECTING	1.125	0.75	1.999736736	26.60253906
16	CONTRACTING	0.796875	0.84375	1.999025425	4.39850831
17	REFLECTING	1.015625	0.78125	1.999025425	6.262457132
18	CONTRACTING	0.8515625	0.828125	1.996042025	1.082239762
19	REFLECTING	0.9609375	0.796875	1.996042025	1.602405682
20	CONTRACTING	0.87890625	0.8203125	1.984571035	0.2434948916
21	REFLECTING	1.12890625	1.3203125	1.982468104	0.2271434302
22	REFLECTING	1.28125	1.5625	1.982468104	0.7048072815
23	CONTRACTING	0.9794921875	1.005859375	1.981211956	0.2162219736
24	REFLECTING	0.8818359375	0.748046875	1.980267646	0.101506215
25	REFLECTING	0.93359375	0.8046875	1.980267646	0.4521017903
26	CONTRACTING	0.9680175781	0.9555664062	1.958200451	0.03527886867
27	REFLECTING	1.117431641	1.270019531	1.958200451	0.05944103671
28	CONTRACTING	0.9407348633	0.878540039	1.882046054	0.007662349554
29	REFLECTING	1.003967285	0.9854736328	1.882046054	0.05053583822
30	CONTRACTING	0.9770050049	0.9630432128	1.514592497	0.007761308206
31	REFLECTING	0.9949798584	0.9779968262	1.514592497	0.01439663781
32	CONTRACTING	0.9814987183	0.9667816162	1.509092871	0.001526952716
33	REFLECTING	1.072013855	1.150741577	1.509092871	0.005419434501
34	CONTRACTING	0.9735546112	0.9465904236	0.5720324553	0.0008477493312
35	REFLECTING	1.023305893	1.042308807	0.5720324553	0.002891675475
36	CONTRACTING	0.991950512	0.985663414	1.009121677	0.0003529773877
37	REFLECTING	0.9342551232	0.8697538376	1.009121677	0.005270288307
38	CONTRACTING	1.007001281	1.014313459	1.752658119	5.587600008e-05
39	REFLECTING	1.025397182	1.053386449	1.752658119	0.00102412429
40	CONTRACTING	0.9865152538	0.9732894301	1.453338704	0.0001824325762
41	REFLECTING	1.001566023	1.001939475	1.062122565	0.0001452605274
42	REFLECTING	1.02205205	1.042963504	1.062122565	0.0007509696615
43	CONTRACTING	0.9953994529	0.9907079485	1.465126543	2.242217539e-05
44	REFLECTING	1.000834711	1.003081933	1.465126543	0.0002000186922
45	CONTRACTING	1.001383195	1.002225089	0.8545213121	3.14213982e-05
46	REFLECTING	0.9897813669	0.9786195785	0.8545213121	0.0002141619602
47	CONTRACTING	1.002696302	1.005389989	1.247580696	7.279815886e-06
48	REFLECTING	0.9967125599	0.9938728485	1.247580696	2.989729667e-05
49	CONTRACTING	1.000215536	1.000137029	1.019611525	8.695316567e-06
50	REFLECTING	1.007512385	1.01481907	1.019611525	6.330745288e-05
51	CONTRACTING	0.998427686	0.9967357288	0.747603508	3.963387706e-06
52	REFLECTING	1.000908452	1.001988689	0.747603508	3.74800745e-06
53	EXPANDING	1.00125491	1.002914519	0.6405139468	1.782571124e-05
54	REFLECTING	0.996639836	0.9933344288	0.6405139468	1.147963227e-05
55	CONTRACTING	1.001182185	1.002376099	0.951312808	1.408235237e-06
56	REFLECTING	1.003662951	1.007629059	0.9513128078	2.181212462e-05
57	CONTRACTING	0.9997365022	0.9994590614	1.907041887	8.906591311e-08
58	REFLECTING	1.000010235	0.9998464714	1.907041887	3.027659681e-06
59	CONTRACTING	1.000683898	1.001453135	1.761801525	1.188029951e-06
60	REFLECTING	0.9992382152	0.9985360974	1.720736913	9.294397032e-07
61	REFLECTING	0.9982908194	0.9965420238	1.720736913	3.102231991e-06
62	CONTRACTING	1.000085628	1.000225357	1.649849753	2.999446445e-07
